關鍵字,括號名稱,大類,位置規則,命名規則,範例原始名稱,範例調整後名稱,啟用,說明
勝利女神：妮姬DORO系列拉拉 CINDORO;CINDORO*1500 玩偶,玩偶,31,角色在前-作品系列在後,萬榮妮姬DORO系列玩偶使用 (玩偶)；DORO/CINDORO 放在 - 前，作品與系列拉拉玩偶放在 - 後。,勝利女神：妮姬DORO系列拉拉 CINDORO*1500 玩偶,(玩偶)CINDORO-勝利女神：妮姬DORO系列拉拉玩偶,1,萬榮妮姬DORO系列玩偶命名與大類規則
黏土人芙莉蓮修行時代Ver.,GSC黏土人,38,括號分類在最前方,GSC黏土人類使用 (GSC黏土人)；使用者確認短品名時直接接角色或版本，不強制補作品名稱到後方。,黏土人芙莉蓮修行時代Ver.,(GSC黏土人)芙莉蓮修行時代Ver.,1,萬榮GSC黏土人命名與大類規則
黏土人先西,GSC黏土人,38,括號分類在最前方,GSC黏土人類使用 (GSC黏土人)；使用者確認短品名時直接接角色或版本，不強制補作品名稱到後方。,黏土人先西,(GSC黏土人)先西,1,萬榮GSC黏土人命名與大類規則
黏土人瑪露希爾,GSC黏土人,38,括號分類在最前方,GSC黏土人類使用 (GSC黏土人)；使用者確認短品名時直接接角色或版本，不強制補作品名稱到後方。,黏土人瑪露希爾,(GSC黏土人)瑪露希爾,1,萬榮GSC黏土人命名與大類規則
DORO軟膠模型存錢筒,模型,38,括號分類在最前方,DORO軟膠模型存錢筒使用 (模型)，正式名稱直接接商品名。,DORO軟膠模型存錢筒,(模型)DORO軟膠模型存錢筒,1,萬榮DORO模型命名與大類規則
線條小狗絨毛吊飾,鑰匙圈,28,款式在前-作品系列在後,麗嬰線條小狗絨毛吊飾使用 (鑰匙圈)；款式放在 - 前，線條小狗絨毛吊飾放在 - 後。,線條小狗絨毛吊飾-慶典小白,(鑰匙圈)慶典小白-線條小狗絨毛吊飾,1,麗嬰線條小狗絨毛吊飾命名與大類規則
都是吉伊卡哇角色公仔,萬榮盲盒,34,主題在前-系列在後-盒數結尾,萬榮吉伊卡哇 GPSBOX 使用 (萬榮盲盒)；主題放在前，GPSBOX 放在後，盒入數以 @N 結尾。,吉伊卡哇GPSBOX都是吉伊卡哇角色公仔(全6種),(萬榮盲盒)都是吉伊卡哇角色公仔-GPSBOX@6,1,萬榮吉伊卡哇GPSBOX命名與大類規則
卡比們的噗噗噗超市,REMENT,37,主題在前-作品在後-盒數結尾,REMENT 星之卡比盒玩使用 (REMENT)；主題放在前，作品放在後，盒入數以 @N 結尾並移除再販文字。,盒玩星之卡比卡比們的噗噗噗超市(全8種)(再販),(REMENT)卡比們的噗噗噗超市-星之卡比@8,1,萬榮REMENT星之卡比盒玩命名與大類規則
卡比 in Pop City!!,REMENT,37,主題在前-作品在後-盒數結尾,REMENT 星之卡比盒玩使用 (REMENT)；主題放在前，作品放在後，盒入數以 @N 結尾並移除再販文字。,盒玩星之卡比卡比 in Pop City!!(全6種)(再販),(REMENT)卡比 in Pop City!!-星之卡比@6,1,萬榮REMENT星之卡比盒玩命名與大類規則
蠟筆小新驚喜包;驚喜包SURPRISE MIX,REMENT,37,主題在前-作品在後-盒數結尾,REMENT 蠟筆小新驚喜包使用 (REMENT)；主題放在前，作品放在後；正式盒入數依使用者確認使用 @8，不使用全款式數 35。,盒玩蠟筆小新驚喜包! SURPRISEMIX(全35種),(REMENT)驚喜包SURPRISE MIX-蠟筆小新@8,1,萬榮REMENT蠟筆小新盒玩命名與大類規則
